Date,Open,High,Low,Close,Adj Close,Volume
2015-08-06,108.919998,108.919998,107.239998,107.709999,100.617584,1969500
2015-08-07,107.620003,107.699997,106.889999,107.430000,100.356026,3295100
2015-08-10,108.080002,108.849998,108.050003,108.769997,101.607796,1981000
2015-08-11,108.000000,108.230003,107.370003,107.790001,100.692314,1833100
2015-08-12,107.010002,108.029999,106.089996,107.900002,100.795067,2611300
2015-08-13,107.910004,108.239998,107.440002,107.750000,100.654961,3545400
2015-08-14,107.699997,108.230003,107.540001,108.160004,101.037956,1154400
2015-08-17,107.889999,108.860001,107.510002,108.849998,101.682510,1739100
2015-08-18,108.779999,108.900002,108.370003,108.570000,101.420944,2694900
2015-08-19,108.050003,108.449997,107.080002,107.599998,100.514824,2183200
2015-08-20,106.800003,107.000000,105.250000,105.260002,98.328911,4377900
2015-08-21,104.320000,104.739998,102.180000,102.230003,95.498436,9877600
2015-08-24,96.400002,101.269997,93.000000,98.120003,91.659058,18137000
2015-08-25,101.410004,101.720001,96.870003,96.949997,90.566109,9215900
2015-08-26,99.989998,100.580002,97.389999,100.470001,93.854309,8299100
2015-08-27,101.970001,103.050003,100.919998,102.900002,96.124306,8778300
2015-08-28,102.589996,103.320000,102.370003,102.980003,96.199043,5165600
2015-08-31,102.529999,103.010002,101.949997,102.209999,95.479744,4525900
2015-09-01,99.949997,100.830002,98.750000,99.209999,92.677292,9264700
2015-09-02,100.779999,101.080002,99.550003,101.070000,94.414810,7681000
2015-09-03,101.580002,102.440002,100.900002,101.199997,94.536247,5151300
2015-09-04,99.919998,100.410004,99.260002,99.760002,93.191063,4317800
2015-09-08,101.589996,102.320000,101.059998,102.269997,95.535789,3341800
2015-09-09,103.239998,103.400002,100.690002,100.870003,94.227974,3690100
2015-09-10,100.879997,102.070000,100.629997,101.410004,94.732422,3695800
2015-09-11,101.040001,101.879997,100.699997,101.860001,95.152809,2007900
2015-09-14,101.910004,101.910004,101.199997,101.470001,94.788490,3711100
2015-09-15,101.809998,102.970001,101.529999,102.750000,95.984192,2385600
2015-09-16,102.870003,103.730003,102.699997,103.620003,96.796898,2447400
2015-09-17,103.639999,105.019997,103.239998,103.470001,96.656776,4726600
2015-09-18,102.050003,102.889999,101.589996,101.839996,95.134109,3270600
2015-09-21,102.419998,103.019997,101.669998,102.250000,95.517120,2680300
2015-09-22,101.000000,101.239998,100.209999,100.879997,94.237305,3034000
2015-09-23,101.040001,101.279999,100.339996,100.680000,94.050484,1788800
2015-09-24,100.019997,100.529999,99.099998,100.269997,93.667496,3722700
2015-09-25,100.760002,100.870003,99.070000,99.610001,93.524773,4937600
2015-09-28,99.610001,99.610001,96.800003,96.940002,91.017883,5606400
2015-09-29,97.230003,97.839996,96.370003,96.889999,90.970940,4548600
2015-09-30,98.110001,98.790001,97.550003,98.720001,92.689163,3745600
2015-10-01,98.959999,99.120003,97.709999,98.919998,92.876930,3808800
2015-10-02,97.959999,100.370003,97.379997,100.360001,94.228973,3654500
2015-10-05,101.099998,102.360001,101.040001,102.209999,95.965935,3405800
2015-10-06,102.209999,102.459999,101.379997,101.879997,95.656105,2463100
2015-10-07,102.440002,102.879997,101.699997,102.800003,96.519890,2583900
2015-10-08,102.529999,103.879997,102.379997,103.690002,97.355537,2521000
2015-10-09,103.800003,104.059998,103.430000,103.830002,97.486992,1649500
